醫事機構代碼,醫事機構名稱,醫事機構電話,醫事機構地址,經度,緯度
2346050013,台東縣大武鄉衛生所,(089)791143,臺東縣大武鄉大武村復興路２－２號,120.9078,22.36414
2346070015,臺東縣東河鄉衛生所,(089)896289,臺東縣東河鄉東河村南東河路１０鄰３００號,121.3031,22.96846
2346110014,台東縣綠島鄉衛生所,(089)672511,臺東縣綠島鄉中寮村１－１號,121.4696,22.67319
2346120010,台東縣延平鄉衛生所,(089)561358,臺東縣延平鄉桃源村昇平路１１號,121.0855,22.90217
2346130016,台東縣海端鄉衛生所,(089)931391,臺東縣海端鄉海端村３鄰２９號,121.1767,23.10094
2346140012,台東縣達仁鄉衛生所,(089)702209,臺東縣達仁鄉安朔村復興路１２２號,120.8836,22.29488
2346150018,台東縣金峰鄉衛生所,(089)772201,臺東縣金峰鄉賓茂村１鄰１４號,120.9606,22.53248
2346160014,台東縣蘭嶼鄉衛生所,(089)732575,臺東縣蘭嶼鄉紅頭村３６號,121.5546,22.02493
2390040518,金門縣金寧鄉衛生所,(082)325735,金門縣金寧鄉盤山村仁愛新屯２之１號,118.3374,24.44479
2390050032,金門縣烈嶼鄉衛生所,(082)362078,金門縣烈嶼鄉西口村西方６－５號,118.2395,24.43519
2391020010,連江縣北竿鄉衛生所,(083)655592,連江縣北竿鄉塘岐村２８１－６號,119.9991,26.22617
2391030016,連江縣莒光鄉西莒衛生所,(083)689122,連江縣莒光鄉青帆村１４－１號,119.9331,25.97157
2391030026,連江縣莒光鄉東莒衛生所,(083)689038,連江縣莒光鄉大坪村３０－１號,119.9731,25.96113
2391040012,連江縣東引鄉衛生所,(083)677206,連江縣東引鄉中柳村１２３號,120.4904,26.36701
5901010076,榮星藥局,(02)27124696,臺北市松山區南京東路４段１３３巷５弄１號,121.5552,25.05214
5901010094,明一藥局,(02)27691654,臺北市松山區南京東路５段５９巷２８弄２５號１樓,121.5582,25.0527
5901010165,傑安藥局,(02)27524155,臺北市松山區八德路２段４３７巷７弄８號１樓,121.5473,25.04914
5901010174,仁弘藥局,(02)27136764,臺北市松山區民生東路３段１１３巷２５弄６號１樓,121.5466,25.05948
5901010192,益華藥局,(02)27624898,臺北市松山區民生東路５段１３８巷６號,121.5615,25.05827
5901010272,德靈藥局,(02)27646998,臺北市松山區富錦街５４８號,121.5667,25.06178
5901010290,健全藥局,(02)27128293,臺北市松山區民權東路３段１０３巷２０號,121.5449,25.06327
5901010496,瑞昌大藥局,(02)27151881,臺北市松山區民權東路３段１０３巷１０號,121.5449,25.06298
5901010576,合生藥局,(02)27602932,臺北市松山區南京東路５段１２３巷４５號１樓,121.5607,25.05364
5901011699,建東大藥局,(02)27676237,臺北市松山區三民路９７號１樓,121.5634,25.05723
5901011975,萬泰藥局,(02)27135891,臺北市松山區敦化北路２２２巷３８號,121.5471,25.05994
5901012203,博荃藥局,(02)27316736,臺北市松山區敦化北路４巷５１號,121.5447,25.05006
5901012409,家音藥局,(02)37652080,臺北市松山區民生東路５段７３號,121.5585,25.05871
5901012516,惠登藥局,(02)25472432,臺北市松山區民生東路３段１３０巷３４號,121.5461,25.0562
5901012561,松田藥局,(02)25798005,臺北市松山區延吉街９－６號,121.5536,25.04701
5901012570,予志藥局,(02)27623522,臺北市松山區富錦街５２１號,121.5649,25.06119
5901012598,婕登藥局,(02)27482893,臺北市松山區八德路４段６９９號,121.5766,25.05021
5901012632,晨安藥局,(02)25798460,臺北市松山區八德路３段１５５巷２０弄２號,121.5553,25.04914
5901012650,銘德藥局,(02)27511833,臺北市松山區八德路２段３６６巷２８號,121.5459,25.04724
5901012712,立康大藥局,(02)27471749,臺北市松山區八德路四段２－１號,121.5581,25.04812
5901012749,躍獅松和藥局,(02)27492569,臺北市松山區八德路四段６６６－１號,121.5761,25.04979
5901012758,京東藥局,(02)27679503,臺北市松山區南京東路五段２７２號,121.5669,25.05114
5901012767,晨新藥局,(02)27422951,臺北市松山區八德路４段９１巷１－１號,121.5608,25.04894
5901012918,躍獅京華藥局,(02)27666508,臺北市松山區南京東路５段７１號,121.5596,25.05172
5901012963,綠之家藥局,(02)25289595,臺北市松山區延壽街４２８號,121.5562,25.0562
5901013095,康采藥局,(02)27670271,臺北市松山區南京東路５段２９１巷１７－２號,121.5663,25.05236
5901013120,誠康中西藥局,(02)27619679,臺北市松山區南京東路５段５９巷３１弄４３號,121.5607,25.05346
5901013148,唯康藥局,(02)25775000,臺北市松山區八德路３段２１１號,121.5566,25.0482
5901013175,台北長庚維康藥局,(02)27199386,臺北市松山區敦化北路１９９巷２弄５號１樓,121.55,25.05563
5901013200,專品南京藥局,(02)25147685,臺北市松山區南京東路４段７３號,121.5532,25.05185
5901013308,立赫敦北藥局,(02)27199277,臺北市松山區敦化北路２２２巷２０號,121.5477,25.05945
5901013362,啄木鳥藥局,(02)27422413,臺北市松山區八德路４段２０９號、２１１號（１、２層）,121.564,25.04894
5901013371,玖田藥局,(02)27666578,臺北市松山區八德路４段６５５號,121.5755,25.05018
5901013380,澄馨藥局,(02)27420159,臺北市松山區三民路３７號,121.5635,25.0558
5901013399,一安正昇藥局,(02)27680993,臺北市松山區南京東路５段３０９號,121.5667,25.05155
5901013442,松山八德藥局,(02)27782773,臺北市松山區八德路２段４００號,121.5466,25.04804
5901013451,新德大藥局,(02)27673402,臺北市松山區饒河街２０４號,121.577,25.05074
5901013504,杏一台北長庚藥局,(02)25149463,臺北市松山區敦化北路１９９巷２弄３號,121.55,25.05569
5901013513,立赫民生藥局,(02)27139200,臺北市松山區民生東路４段７２號,121.5524,25.05787
5901013586,安禾大藥局,(02)27602952,臺北市松山區撫遠街３８２號,121.5656,25.06443
5901013595,巧心藥局,(02)25703728,臺北市松山區八德路３段１２巷５７弄３９之３號１樓,121.5521,25.04567
5901013620,躍獅敦北藥局,(02)27155691,臺北市松山區民生東路４段８０巷５號１樓,121.5531,25.05713
5901013648,慶昌藥局,(02)25770820,臺北市松山區延吉街２９號１樓,121.5537,25.04595
5901013657,順儷中崙藥局,(02)25796900,臺北市松山區八德路３段７４巷４８號１樓,121.5525,25.04685
5901013693,民生盛康藥局,(02)27460758,臺北市松山區民生東路５段２０４號１樓,121.5648,25.05826
5901013700,杏一台北台安藥局,(02)87728295,臺北市松山區八德路２段３９９號１樓,121.5465,25.04833
5901013719,大樹松山藥局,(02)27562226,臺北市松山區民生東路５段１０７號１樓,121.5601,25.05878
5901013728,康麗藥局,(02)27174117,臺北市松山區南京東路３段３０３巷２０號（１樓）,121.5468,25.05374
5901013737,全欣藥局,(02)87729066,臺北市松山區復興北路７３號２樓,121.5442,25.05104
5901013746,富景藥局,(02)27455666,臺北市松山區三民路１４５號１樓,121.5631,25.06078
5901020303,宏恩藥局,(02)27000956,臺北市大安區大安路１段１８１號,121.5461,25.03619
5901020376,靜園藥局,(02)27336390,臺北市大安區和平東路２段１１８巷５７之１號,121.5429,25.02254
5901020385,延吉大藥局,(02)27819227,臺北市大安區延吉街１５３號１樓,121.5548,25.04066
5901020465,杏友藥局,(02)27079451,臺北市大安區復興南路２段１５１巷２５號,121.5446,25.02847
5901020554,師大藥局,(02)23623479,臺北市大安區師大路９９號１樓,121.5285,25.02271
5901020563,施寶藥局,(02)27114175,臺北市大安區安東街５０－５號１樓,121.5426,25.04277
5901020616,龍護大藥局,(02)23250686,臺北市大安區大安路１段２２４巷７號１Ｆ,121.5454,25.03401
5901020634,新廣生藥局,(02)27071221,臺北市大安區仁愛路４段３４號,121.5467,25.03762
5901020661,泰佑藥局,(02)27056841,臺北市大安區安和路２段７２號１Ｆ,121.5517,25.03011
5901020689,四維藥局,(02)27094222,臺北市大安區復興南路２段１５１巷４３號１樓,121.5454,25.02846
5901020732,赫慶藥局,(02)27063497,臺北市大安區瑞安街２０８巷１１弄５號１樓,121.5408,25.02866
5901020787,吉成藥局,(02)23636475,臺北市大安區泰順街７號,121.5316,25.02557
5901020858,順天堂藥局,(02)23627149,臺北市大安區龍泉街９６號,121.5292,25.02256
5901020876,大興藥局,(02)27053369,臺北市大安區通化街３９巷５０弄１５號１樓,121.5555,25.03056
5901020901,辰安藥局,(02)27119536,臺北市大安區大安路１段３１巷２８號,121.5472,25.04385
5901021248,永誠藥局,(02)27520273,臺北市大安區忠孝東路４段２１６巷２５之１號,121.5531,25.03997
5901021382,建如藥局,(02)27331456,臺北市大安區和平東路３段２２８巷１１號１Ｆ,121.5543,25.02174
5901021408,生百藥局,(02)27371011,臺北市大安區臨江街１２４號,121.5539,25.03024
5901022601,生光藥局,(02)27780862,臺北市大安區忠孝東路３段２４８巷２號,121.5412,25.04135
5901022898,永康藥局,(02)23279362,臺北市大安區麗水街６之２號,121.529,25.03289
5901023073,世中欣藥局,(02)23938947,臺北市大安區永康街２巷８號,121.5294,25.03315
5901023215,大愛健康藥局,(02)27092156,臺北市大安區敦化南路２段６３巷６５號,121.552,25.03103
5901023304,麗樺藥師藥局,(02)23952628,臺北市大安區麗水街３號,121.529,25.03225
5901023313,安和藥局,(02)27092349,臺北市大安區安和路１段１０２巷３號,121.5519,25.03433
5901023331,佑安藥局,(02)27069339,臺北市大安區延吉街２３３巷９號,121.5561,25.03708
5901023386,弘昇藥局,(02)27110061,臺北市大安區復興南路１段１０７巷３２號,121.5458,25.04349
5901023411,長虹藥局,(02)27210232,臺北市大安區忠孝東路４段２１６巷 ６３號,121.5531,25.0382
5901023519,惠盈藥局,(02)87321366,臺北市大安區辛亥路２段１７１巷３１號,121.5412,25.02297
5901023653,信安健康藥局,(02)27084858,臺北市大安區仁愛路４段１２２巷５８號,121.5501,25.03392
5901023680,新富川藥局,(02)27114758,臺北市大安區大安路１段５１巷４號,121.5464,25.04303
5901023831,康乃馨藥局,(02)23257097,臺北市大安區建國南路１段３２７號,121.5382,25.03481
5901023902,惠良藥局,(02)27387872,臺北市大安區和平東路３段９３－１號,121.5507,25.02461
5901024007,古亭健康人生藥局,(02)23660895,臺北市大安區羅斯福路２段８３號,121.5237,25.02572
5901024098,杏一瑞安藥局,(02)27096710,臺北市大安區瑞安街２０８巷１１弄１號,121.5406,25.02866
5901024114,好安心藥局,(02)23772166,臺北市大安區和平東路２段９８之２號,121.5415,25.02493
5901024178,誠心藥局,(02)27527520,臺北市大安區忠孝東路３段１９９－１號,121.5389,25.04188
5901024221,安居藥局,(02)23773537,臺北市大安區安居街１９號,121.5549,25.02085
5901024310,躍獅新生藥局,(02)23623367,臺北市大安區和平東路２段２０號,121.5362,25.02566
5901024347,博大藥局,(02)27027858,臺北市大安區安和路２段６５號,121.5526,25.03063
5901024427,博昱仁愛藥局,(02)87739258,臺北市大安區仁愛路４段６５號,121.5469,25.03821
5901024472,忠孝康承健保藥局,(02)87733378,臺北市大安區復興南路１段１０７巷４號,121.5444,25.04357
5901024481,微笑藥師藥局,(02)27009655,臺北市大安區信義路３段３１巷４號,121.5345,25.03401
5901024490,明星大藥局,(02)27023747,臺北市大安區光復南路４３０之１號,121.5574,25.03618
5901024516,博昱師大藥局,(02)23696966,臺北市大安區羅斯福路３段１８９號,121.5281,25.02109
5901024525,國泰維康藥局,(02)27542185,臺北市大安區仁愛路４段２６６巷１５弄２０號,121.5541,25.03654
5901024543,奇威藥局,(02)23651110,臺北市大安區雲和街９３號,121.5312,25.02338
5901024669,百岳藥局,(02)27551037,臺北市大安區和平東路２段３１１巷１１號,121.5452,25.02514
5901024678,大安健康人生藥局,(02)27025553,臺北市大安區信義路４段３４號,121.5447,25.03316
5901024687,博昱大藥局,(02)23776199,臺北市大安區樂業街１４８號、１５０號,121.5529,25.01998
5901024696,仁華藥局,(02)27336762,臺北市大安區臥龍街１５５號,121.5511,25.01834
5901024703,吾家藥局,(02)27066425,臺北市大安區信義路４段２６５巷６之１號,121.5542,25.03372
5901024721,麗泰藥局,(02)27079595,臺北市大安區復興南路２段１５１巷４號,121.544,25.02832
5901024767,杏一樂業藥局,(02)27383194,臺北市大安區樂業街１６２號,121.5535,25.01958
5901024838,昶青藥局,(02)27515678,臺北市大安區濟南路３段２２之１號,121.5346,25.04008
5901024865,沛林東區生活藥粧藥局,(02)27763759,臺北市大安區忠孝東路４段１８１巷７弄５號,121.551,25.04219
5901024892,太醫藥局,(02)23685125,臺北市大安區師大路１２號,121.5283,25.02568
5901024918,康祥藥局,(02)27817891,臺北市大安區忠孝東路４段２１６巷２１號,121.5531,25.04025
5901024945,威康藥局,(02)27061149,臺北市大安區和平東路２段２９７號,121.5447,25.02495
5901024954,佑全大安敦南藥局,(02)23257579,臺北市大安區敦化南路２段６３巷４６號,121.5512,25.03089
5901024981,專品六張犁藥局,(02)87322226,臺北市大安區基隆路２段２１７號１樓,121.5513,25.02299
5901025004,早安藥局,(02)27002209,臺北市大安區建國南路２段１５１巷４２號１樓,121.5396,25.02865
5901025013,頤品中西藥局,(02)23685656,臺北市大安區浦城街２４之２號１樓,121.5267,25.02295
5901025022,躍獅敦和藥局,(02)23785767,臺北市大安區和平東路３段１０號,121.547,25.02453
5901025031,中力信義藥局,(02)23250266,臺北市大安區信義路４段５１號（１樓）,121.545,25.03354
5901025040,弘昌藥局,(02)27321616,臺北市大安區通化街１３９號１樓,121.554,25.02901
5901025059,博醫仁愛藥局,(02)27019107,臺北市大安區仁愛路４段８巷２號１樓,121.5443,25.0375
5901025068,鎮安中西安和藥局,(02)27015201,臺北市大安區安和路１段１２３號１樓,121.5527,25.03488
5901025077,敦南春天藥局,(02)27553266,臺北市大安區敦化南路２段８１巷６３號１樓,121.5513,25.03002
5901090074,慈仁藥局,(02)25572733,臺北市大同區歸綏街２６１號１樓,121.5101,25.05832
5901090127,三銘大藥局,(02)25583392,臺北市大同區迪化街１段８０號,121.5099,25.05581
5901090154,柯藥局,(02)25948515,臺北市大同區重慶北路３段３３５巷６號,121.5144,25.07452
5901090181,時春藥局,(02)25597918,臺北市大同區赤峰街４號,121.5191,25.05356
5901090216,裕仁藥局,(02)25910064,臺北市大同區迪化街２段２７０號－１,121.5115,25.07068
5901090243,建祥藥局,(02)25556476,臺北市大同區寧夏路１７號、１７－１號,121.515,25.05485
5901090289,正利民藥局,(02)25924842,臺北市大同區延平北路３段１０５號,121.511,25.06806
5901090323,泰元藥局,(02)25914592,臺北市大同區哈密街９１號,121.5146,25.07303
5901090341,正中藥局,(02)25976937,臺北市大同區民族西路２１３號,121.5142,25.06874
5901090369,保慶藥局,(02)25538988,臺北市大同區保安街２１號,121.5129,25.05926
5901091473,快安藥局,(02)25561925,臺北市大同區南京西路２８２、２８４號,121.5146,25.05349
5901091544,得意藥師藥局,(02)25534294,臺北市大同區延平北路２段２２９號,121.5115,25.06029
5901091624,健康美藥局,(02)25976707,臺北市大同區民族西路１６５號,121.5155,25.06872
5901091688,宏泰藥師藥局,(02)25957025,臺北市大同區酒泉街１３１號,121.5145,25.07213
5901091759,儷安藥局,(02)25578033,臺北市大同區錦西街５３巷１６號,121.5158,25.06065
5901091820,富康藥局,(02)25537782,臺北市大同區延平北路２段１２６號,121.5115,25.05733
5901091857,佳禾藥局,(02)25953806,臺北市大同區大龍街２６２號,121.5158,25.07061
5901091884,躍獅雙蓮藥局,(02)25537551,臺北市大同區涼州街４號,121.5147,25.06078
5901092014,旭豐藥局,(02)25853880,臺北市大同區昌吉街９６號,121.5151,25.06582
5901092069,躍獅遠東藥局,(02)25594835,臺北市大同區延平北路２段１３１號（實際營業地址：１樓）,121.5116,25.05751
5901092087,躍獅文昌藥局,(02)25586189,臺北市大同區民生西路１０８號（實際營業：一層）,121.5197,25.0574
5901092103,新聖安藥局,(02)25977877,臺北市大同區昌吉街１３０號,121.5143,25.06584
5901092112,酒泉春天藥局,(02)25977932,臺北市大同區酒泉街９４號、９４號２樓,121.5146,25.07193
5901092130,大同民生藥局,(02)25558886,臺北市大同區民生西路１２８號１樓、２樓及１３０號１樓、２樓,121.5191,25.05734
5901092149,123宅藥局,(02)25588699,臺北市大同區鄭州路１２３號（１樓）,121.5109,25.05033
5901092158,慶福藥局,(02)25503628,臺北市大同區南京西路２３３巷２號（１樓）,121.5104,25.05397
5901100057,百源堂大藥局,(02)25364362,臺北市中山區長安東路２段４７－５號,121.5322,25.04857
5901100066,名祥藥局,(02)25036265,臺北市中山區龍江路１６６號,121.5403,25.05505
5901100155,大信藥局,(02)25719080,臺北市中山區林森北路１５９巷６號,121.5255,25.0517
5901100333,明美藥局,(02)25365419,臺北市中山區長春路６９號,121.5266,25.05502
5901100342,順泰藥局,(02)25038916,臺北市中山區錦州街２６６號,121.5348,25.06025
5901100422,滿順藥局,(02)25075283,臺北市中山區伊通街５４號１樓,121.5347,25.05145
5901100431,長生藥局,(02)25816210,臺北市中山區松江路３６２巷５５號１樓,121.5313,25.06207
5901100440,優豐藥局,(02)25602565,臺北市中山區民生東路１段３２號,121.5242,25.05794
5901100628,貢玄藥局,(02)25637847,臺北市中山區錦州街２０７號,121.532,25.06039
5901100664,阿里藥局,(02)25020638,臺北市中山區錦州街２５１號,121.5342,25.06039
5901100771,良佑藥局,(02)25916402,臺北市中山區撫順街６－２號１樓,121.5216,25.06367
5901100959,武璋大藥局,(02)25072026,臺北市中山區伊通街９７號之２,121.5349,25.05317
5901101072,長青藥局,(02)25053160,臺北市中山區興安街５５號１樓,121.5419,25.05621
5901101161,晏晟藥局,(02)25851445,臺北市中山區林森北路６２５號,121.5259,25.06703
5901101205,大直藥局,(02)25320522,臺北市中山區北安路６１７號１樓,121.5488,25.08273
5901101250,美日藥局,(02)25631662,臺北市中山區天津街６６號１樓,121.5233,25.05136
5901101321,文德藥局,(02)25181178,臺北市中山區龍江路３５６巷１９號１樓,121.5401,25.06607
5901101509,永直藥局,(02)85098059,臺北市中山區北安路５９５巷２弄６號,121.5483,25.08192
5901101536,展佑藥局,(02)25232803,臺北市中山區長春路１４６－１號,121.5317,25.05473
5901101607,蓁榛健康生活藥局,(02)25099333,臺北市中山區合江街１００－２號１樓,121.5391,25.05845
5901101652,祥泰藥局,(02)25313097,臺北市中山區林森北路１３６號,121.5251,25.05142
5901101910,嘉恩藥局,(02)25181418,臺北市中山區錦州街３２１號,121.5385,25.06033
5901101929,樂活苑藥局,(02)25323296,臺北市中山區北安路５４６號１樓,121.548,25.08014
5901101992,大愛藥師藥局,(02)25424723,臺北市中山區吉林路２５５號１樓,121.5304,25.06165
5901102015,久大藥局,(02)25111594,臺北市中山區林森北路４８０號,121.5255,25.06127
5901102060,專心藥局,(02)25155847,臺北市中山區伊通街１１２－２號,121.5347,25.05426
5901102408,康林藥局,(02)25171867,臺北市中山區興安街１０５號,121.5438,25.05617
5901102444,啟美藥師藥局,(02)25178032,臺北市中山區錦州街２８２號,121.5352,25.06024
5901102560,龍江藥局,(02)25023724,臺北市中山區龍江路３５６巷１４號,121.5403,25.06591
5901102579,躍獅晴光藥局,(02)25951393,臺北市中山區農安街２３之２號,121.5245,25.06501
5901102597,德惠藥局,(02)25971131,臺北市中山區德惠街１２２號,121.53,25.06652
5901102631,金生藥局,(02)87729808,臺北市中山區長安東路２段１６７－１號,121.5407,25.04843
5901102677,興康源藥局,(02)25311248,臺北市中山區中山北路１段１４０巷８號,121.5214,25.05143
5901102686,富宥康藥局,(02)25325277,臺北市中山區北安路６０８巷５弄２２號,121.5496,25.08263
5901102837,正傑健保藥局,(02)27310181,臺北市中山區長安東路２段１８１號,121.5426,25.04839
5901102855,錦西春天生活藥局,(02)25312658,臺北市中山區錦西街１０號,121.5216,25.06024
5901102971,保德明水藥局,(02)85097769,臺北市中山區北安路６０８巷４弄１號,121.5493,25.08191
5901103110,大直健康藥局,(02)25323310,臺北市中山區北安路５９１號,121.5486,25.08194
5901103147,娸淇藥局,(02)25082762,臺北市中山區伊通街９５號,121.5349,25.05305
5901103183,OK藥師藥局,(02)25170068,臺北市中山區興安街９５號,121.5435,25.05615
5901103192,昶青林森藥局,(02)25639939,臺北市中山區林森北路１１９巷５２號,121.5269,25.05018
5901103209,麗恩藥局,(02)25981982,臺北市中山區林森北路５７５之５號,121.5258,25.0653
5901103227,建誠中西藥局,(02)25158608,臺北市中山區龍江路３８５之１號,121.541,25.06511
5901103236,誠意中西藥局,(02)25950951,臺北市中山區林森北路６１３號,121.5258,25.06647
5901103272,長安藥局,(02)27772740,臺北市中山區長安東路２段１７１－３號,121.5418,25.0484
5901103325,仁一藥局,(02)25711742,臺北市中山區林森北路５２０號,121.5255,25.06232
5901103334,大直小太陽藥局,(02)85093208,臺北市中山區北安路６０７之１號,121.5488,25.08241
5901103352,美康正康藥局,(02)25323077,臺北市中山區北安路６１６之１號、６１８號２樓之１,121.549,25.08243
5901103405,大直永安藥局,(02)25332125,臺北市中山區北安路５６７之２號,121.5482,25.08073
5901103414,元宏藥局,(02)25339728,臺北市中山區北安路４５８巷４１弄４９號,121.5465,25.0794
5901103423,農安藥局,(02)25959293,臺北市中山區農安街１８之１號,121.5248,25.06483
5901103487,錦州春天生活藥局,(02)25213586,臺北市中山區錦州街２１３號、２１３號２樓,121.5321,25.06039
5901103530,農安盛康藥局,(02)25038205,臺北市中山區農安街２６７號,121.5358,25.06477
5901103558,佳頤中西藥局,(02)25641479,臺北市中山區長春路１４７之１號,121.5323,25.05495
5901103576,康銓藥局,(02)25039393,臺北市中山區農安街１７４號,121.5346,25.06457
5901103585,禾全藥局,(02)25165721,臺北市中山區龍江路３３２號,121.5409,25.06532
5901103629,十二願藥局,(02)25311223,臺北市中山區林森北路３０９號,121.5256,25.05588
5901103647,禾康藥局,(02)26562156,臺北市中山區植福路２９６號（實際營業地址：１層）,121.5612,25.08125
5901103656,大樹龍江藥局,(02)25035666,臺北市中山區龍江路２４２號,121.5406,25.05889
5901103665,安悅藥局,(02)25419879,臺北市中山區吉林路１８９號,121.5304,25.0597
5901103674,康廷藥局,(02)25335890,臺北市中山區北安路６１１號（實際營業地址：１層）,121.5488,25.08253
5901103683,東東藥局,(02)25031730,臺北市中山區長春路２５７之２號１樓,121.5408,25.05477
5901103692,誠果中西藥局,(02)25238563,臺北市中山區吉林路１０１號１樓,121.5303,25.05619
5901103727,盛康藥局,(02)25969580,臺北市中山區吉林路３９９號１樓,121.5305,25.06587
5901103736,杏一龍錦藥局,(02)25174618,臺北市中山區龍江路２７９號１樓,121.5408,25.05973
5901103745,吉林藥局,(02)25865990,臺北市中山區吉林路３７１號（１樓）,121.5305,25.06511
5901103754,永育康暉藥局,(02)85012227,臺北市中山區樂群二路２１０之２號１樓,121.5593,25.07952
